,question,CHAPTER,CLASS,CUSTOM,TOPIC,SUBJECT,BLOOM_TAXONOMY,CURRICULUM
82045,"<ol><li>The marks of 24 candidates in the subject mathematics are given below:<br><math xmlns=""http://www.w3.org/1998/Math/MathML""><mtable columnalign=""left left left left left left left left"" columnspacing=""1em"" rowspacing=""4pt""><mtr><mtd><mn>45</mn>&nbsp;</mtd><mtd><mn>48</mn>&nbsp;</mtd><mtd><mn>15</mn>&nbsp;</mtd><mtd><mn>23</mn>&nbsp;</mtd><mtd><mn>30</mn>&nbsp;</mtd><mtd><mn>35</mn>&nbsp;</mtd><mtd><mn>40</mn>&nbsp;</mtd><mtd><mn>11</mn>&nbsp;</mtd></mtr><mtr><mtd><mn>29</mn>&nbsp;</mtd><mtd><mn>0</mn>&nbsp;</mtd><mtd><mn>3</mn>&nbsp;</mtd><mtd><mn>12</mn>&nbsp;</mtd><mtd><mn>48</mn>&nbsp;</mtd><mtd><mn>50</mn>&nbsp;</mtd><mtd><mn>18</mn>&nbsp;</mtd><mtd><mn>30</mn>&nbsp;</mtd></mtr><mtr><mtd><mn>15</mn>&nbsp;</mtd><mtd><mn>30</mn>&nbsp;</mtd><mtd><mn>11</mn>&nbsp;</mtd><mtd><mn>42</mn>&nbsp;</mtd><mtd><mn>23</mn>&nbsp;</mtd><mtd><mn>2</mn>&nbsp;</mtd><mtd><mn>3</mn>&nbsp;</mtd><mtd><mn>44</mn>&nbsp;</mtd></mtr></mtable></math><br>The maximum marks are&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>50</mn>&nbsp;<mo>.</mo>&nbsp;</math>Make a frequency distribution taking class intervals&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn>&nbsp;<mo>=</mo>&nbsp;<mn>10</mn>&nbsp;</math>,&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>10</mn>&nbsp;<mo>=</mo>&nbsp;<mn>20</mn>&nbsp;<mo>,</mo>&nbsp;<mo>…</mo>&nbsp;<mo>…</mo>&nbsp;</math><br>Solution:</li></ol>",Statistics,9,,,Mathematics,Remebering,ICSE
44603,<ol><li>Arrange the following in increasing percentage of carbon content.<br>i. Pig iron<br>ii. Wrought iron<br>iii. Steel</li></ol>,General Principles and processes of isolation of metals,11,jee mains,,Chemistry,Understanding,JEE Main
97261,<p>Name the following:</p><p>A metallic oxide which can be reduced into metal by hydrogen.</p>,Hydrogen,8,Selina,,Chemistry,,ICSE
3221,"<p>24. Which of following is true?<br />
(a) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>2</mn><mover><mrow><mi>O</mi><mi>A</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>−</mo><mn>3</mn><mover><mrow><mi>O</mi><mi>B</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>+</mo><mover><mrow><mi>O</mi><mi>C</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>=</mo><mover><mn>0</mn><mo accent=""true"">⃗</mo></mover></mrow><annotation encoding=""application/x-tex"">2 \overrightarrow{O A}-3 \overrightarrow{O B}+\overrightarrow{O C}=\overrightarrow{0}</annotation></semantics></math><br />
(b) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mn>2</mn><mover><mrow><mi>O</mi><mi>A</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>+</mo><mn>7</mn><mover><mrow><mi>O</mi><mi>B</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>+</mo><mn>9</mn><mover><mrow><mi>O</mi><mi>C</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>=</mo><mover><mn>0</mn><mo accent=""true"">⃗</mo></mover></mrow><annotation encoding=""application/x-tex"">2 \overrightarrow{O A}+7 \overrightarrow{O B}+9 \overrightarrow{O C}=\overrightarrow{0}</annotation></semantics></math><br />
(c) <math display=""inline"" xmlns=""http://www.w3.org/1998/Math/MathML""><semantics><mrow><mover><mrow><mi>O</mi><mi>A</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>+</mo><mover><mrow><mi>O</mi><mi>B</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>+</mo><mover><mrow><mi>O</mi><mi>C</mi></mrow><mo accent=""true"">⃗</mo></mover><mo>=</mo><mover><mn>0</mn><mo accent=""true"">⃗</mo></mover></mrow><annotation encoding=""application/x-tex"">\overrightarrow{O A}+\overrightarrow{O B}+\overrightarrow{O C}=\overrightarrow{0}</annotation></semantics></math><br />
(d) None of these</p>
",vector,12,ncert,2D,,,
48472,<p>Soil erosion can not be prevented by</p>,Our Natural Resources,4,NCERT,,Social Science,Remebering,CBSE
28076,<p>Why did Margie hate school? Why did she think the old kind of school must have been fun?</p>,,9,,,,,
42067,<p>Zygospore form in:</p>,Biological Classification,11,NEET,,Biology,Understanding,NEET
80940,"<ol><li>Draw two rays&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">P</mi>&nbsp;<mi mathvariant=""normal"">Q</mi>&nbsp;</mrow></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi mathvariant=""normal"">R</mi>&nbsp;<mi mathvariant=""normal"">S</mi>&nbsp;</mrow></math>as shown in Fig.&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>19.14</mn>&nbsp;</math>(i) and (ii). Using protractor, construct angles of&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>15</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup></math>and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mn>138</mn>&nbsp;<mrow><mo>∘</mo>&nbsp;</mrow></msup></math>with one arm PQ and RS respectively.</li></ol>",Geometrical Construction ,6,RD Sharma,,Mathematics,,CBSE
22882,"<ol><li>Explain, why is it difficult for a fireman to hold a hose, which ejects large amounts of water at a high velocity.</li></ol>",Forces and law of motion,9,NCERT,,Science,Understanding,CBSE
54536,<p>What are aerial animals?</p>,Planta and animals,4,NCERT,,Science,Remebering,CBSE
